Record_ID,Crop,State,Region,Pest_Name,Pest_Type,Month_Reported,Incidence_Percent,Incidence_Level,Probable_Cause,Recommended_Control,Control_Type,Source,Imputed_Flag,Incidence_Percent_Imputed,Year
16,Mango,Maharashtra,West,Late Blight,Fungal,September,17.4,Low,Unbalanced fertilizer use,Apply recommended fungicides,Chemical,State Agriculture Dept,False,17.4,2025
17,Onion,Odisha,East,Fall Armyworm,Insect,April,59.5,Medium,Heavy rainfall and waterlogging,Release Trichogramma parasitoids,Biological,ICAR advisory,False,59.5,2025
18,Cotton,Odisha,East,Whitefly,Insect,April,59.1,Medium,Excess nitrogen use,Apply recommended fungicides,Chemical,ICAR advisory,False,59.1,2025
19,Onion,Punjab,North,Coffee Berry Borer,Insect,February,53.2,Medium,Uncontrolled weeds,Use pheromone traps and neem spray,Biological,Farmer field report,False,53.2,2025
20,Banana,Assam,East,Sigatoka,Fungal,September,13.5,Low,Unbalanced fertilizer use,Crop rotation and field sanitation,Cultural,Farmer field report,False,13.5,2025
21,Maize,Tamil Nadu,South,Blast,Fungal,September,60.2,High,Unbalanced fertilizer use,Adopt resistant varieties,Cultural,PPQS report,False,60.2,2025
22,Mustard,Tamil Nadu,South,Leaf Rust,Fungal,September,80.3,High,High temperature stress,Adopt resistant varieties,Cultural,ICAR advisory,False,80.3,2025
23,Sugarcane,Andhra Pradesh,South,Whitefly,Insect,December,17.0,Low,High humidity,Apply recommended fungicides,Chemical,State Agriculture Dept,False,17.0,2025
24,Apple,Karnataka,South,Thrips,Insect,April,42.6,Medium,Heavy rainfall and waterlogging,Adopt resistant varieties,Cultural,KVK alert,False,42.6,2025
25,Mustard,West Bengal,East,Brown Planthopper,Insect,July,52.8,Medium,Excess nitrogen use,Use pheromone traps and neem spray,Biological,Farmer field report,False,52.8,2025
26,Wheat,Karnataka,South,Fruit Borer,Insect,September,73.0,High,Uncontrolled weeds,Release Trichogramma parasitoids,Biological,ICAR advisory,False,73.0,2025
27,Soybean,Rajasthan,West,Late Blight,Fungal,July,12.5,Low,Poor drainage,Release Trichogramma parasitoids,Biological,PPQS report,False,12.5,2025
28,Sugarcane,Punjab,North,Sigatoka,Fungal,September,60.7,High,Uncontrolled weeds,Adopt resistant varieties,Cultural,State Agriculture Dept,False,60.7,2025
29,Rice,Jharkhand,East,Tea Mosquito Bug,Insect,September,13.3,Low,Excess nitrogen use,Release Trichogramma parasitoids,Biological,KVK alert,False,13.3,2025
30,Apple,Jharkhand,East,Stem Borer,Insect,May,69.3,High,Invasive pest spread,Apply recommended fungicides,Chemical,KVK alert,False,69.3,2025
31,Mango,Kerala,South,Blast,Fungal,March,76.8,High,Unbalanced fertilizer use,Use pheromone traps and neem spray,Biological,PPQS report,False,76.8,2025
32,Tea,Telangana,South,Tea Mosquito Bug,Insect,September,54.0,Medium,Uncontrolled weeds,Adopt resistant varieties,Cultural,ICAR advisory,False,54.0,2025
33,Groundnut,Tamil Nadu,South,Leaf Rust,Fungal,December,86.1,High,Invasive pest spread,Apply recommended fungicides,Chemical,PPQS report,False,86.1,2025
34,Cotton,Bihar,East,Thrips,Insect,February,35.4,Medium,Heavy rainfall and waterlogging,Crop rotation and field sanitation,Cultural,Farmer field report,False,35.4,2025
35,Soybean,Chhattisgarh,Central,Blast,Fungal,October,74.6,High,High temperature stress,Apply recommended fungicides,Chemical,ICAR advisory,False,74.6,2025
36,Onion,Madhya Pradesh,Central,Sigatoka,Fungal,April,61.3,High,Uncontrolled weeds,Use sticky traps and neem oil,IPM,State Agriculture Dept,False,61.3,2025
37,Sugarcane,West Bengal,East,Coffee Berry Borer,Insect,August,38.7,Medium,Uncontrolled weeds,Integrated Pest Management practices,IPM,Farmer field report,False,38.7,2025
38,Cotton,Maharashtra,West,Tikka Leaf Spot,Fungal,October,32.4,Medium,Poor drainage,Release Trichogramma parasitoids,Biological,PPQS report,False,32.4,2025
39,Groundnut,Karnataka,South,Wilt,Fungal,February,78.0,High,High humidity,Use sticky traps and neem oil,IPM,Farmer field report,False,78.0,2025
40,Tea,Punjab,North,Sigatoka,Fungal,October,12.9,Low,Uncontrolled weeds,Release Trichogramma parasitoids,Biological,Farmer field report,False,12.9,2025
41,Okra,Kerala,South,Fruit Borer,Insect,July,71.8,High,Uncontrolled weeds,Apply recommended fungicides,Chemical,KVK alert,False,71.8,2025
42,Mango,Assam,East,Stem Borer,Insect,July,10.8,Low,Unbalanced fertilizer use,Use sticky traps and neem oil,IPM,Farmer field report,False,10.8,2025
43,Tomato,Assam,East,Blast,Fungal,August,55.3,Medium,Excess nitrogen use,Adopt resistant varieties,Cultural,PPQS report,False,55.3,2025
44,Okra,Odisha,East,Brown Planthopper,Insect,April,28.5,Low,Uncontrolled weeds,Crop rotation and field sanitation,Cultural,PPQS report,False,28.5,2025
45,Wheat,Gujarat,West,Aphids,Insect,June,83.4,High,High humidity,Use pheromone traps and neem spray,Biological,State Agriculture Dept,False,83.4,2025
46,Cotton,Assam,East,Tikka Leaf Spot,Fungal,May,31.1,Medium,Delayed sowing,Release Trichogramma parasitoids,Biological,PPQS report,False,31.1,2025
47,Pigeonpea,Punjab,North,Fruit Borer,Insect,October,76.8,High,Delayed sowing,Crop rotation and field sanitation,Cultural,KVK alert,False,76.8,2025
48,Chilli,Assam,East,Late Blight,Fungal,June,37.6,Medium,Heavy rainfall and waterlogging,Release Trichogramma parasitoids,Biological,ICAR advisory,False,37.6,2025
49,Mango,Kerala,South,Whitefly,Insect,March,51.2,Medium,Uncontrolled weeds,Apply recommended fungicides,Chemical,PPQS report,False,51.2,2025
50,Tomato,Maharashtra,West,Fruit Borer,Insect,October,19.5,Low,Unbalanced fertilizer use,Integrated Pest Management practices,IPM,State Agriculture Dept,False,19.5,2025
51,Cotton,Himachal Pradesh,North,Tikka Leaf Spot,Fungal,August,57.3,Medium,High temperature stress,Use pheromone traps and neem spray,Biological,PPQS report,False,57.3,2025
52,Wheat,Kerala,South,Thrips,Insect,October,60.4,High,High humidity,Release Trichogramma parasitoids,Biological,PPQS report,False,60.4,2025
53,Wheat,Maharashtra,West,Fall Armyworm,Insect,March,42.4,Medium,Excess nitrogen use,Adopt resistant varieties,Cultural,ICAR advisory,False,42.4,2025
54,Soybean,Karnataka,South,Leaf Rust,Fungal,August,47.7,Medium,Heavy rainfall and waterlogging,Apply recommended fungicides,Chemical,PPQS report,False,47.7,2025
55,Mustard,Uttarakhand,North,Blast,Fungal,October,24.6,Low,Delayed sowing,Crop rotation and field sanitation,Cultural,PPQS report,False,24.6,2025
56,Onion,Rajasthan,West,Thrips,Insect,October,40.3,Medium,Poor drainage,Use pheromone traps and neem spray,Biological,ICAR advisory,False,40.3,2025
57,Potato,Assam,East,Tea Mosquito Bug,Insect,September,76.1,High,Excess nitrogen use,Use pheromone traps and neem spray,Biological,PPQS report,False,76.1,2025
58,Okra,Uttarakhand,North,Thrips,Insect,January,52.5,Medium,Continuous monocropping,Use pheromone traps and neem spray,Biological,KVK alert,False,52.5,2025
59,Sugarcane,Uttarakhand,North,Aphids,Insect,January,72.0,High,High temperature stress,Release Trichogramma parasitoids,Biological,KVK alert,False,72.0,2025
60,Banana,Telangana,South,Wilt,Fungal,September,85.1,High,Heavy rainfall and waterlogging,Use sticky traps and neem oil,IPM,KVK alert,False,85.1,2025
61,Banana,Chhattisgarh,Central,Sigatoka,Fungal,December,77.0,High,Excess nitrogen use,Use pheromone traps and neem spray,Biological,KVK alert,False,77.0,2025
62,Sugarcane,Uttar Pradesh,North,Whitefly,Insect,April,16.7,Low,Excess nitrogen use,Release Trichogramma parasitoids,Biological,KVK alert,False,16.7,2025
63,Groundnut,Gujarat,West,Brown Planthopper,Insect,December,10.6,Low,Delayed sowing,Use pheromone traps and neem spray,Biological,Farmer field report,False,10.6,2025
64,Rice,Punjab,North,Tikka Leaf Spot,Fungal,April,35.3,Medium,Invasive pest spread,Use pheromone traps and neem spray,Biological,PPQS report,False,35.3,2025
65,Mustard,Chhattisgarh,Central,Fall Armyworm,Insect,May,43.9,Medium,Invasive pest spread,Release Trichogramma parasitoids,Biological,State Agriculture Dept,False,43.9,2025
66,Pigeonpea,Gujarat,West,Late Blight,Fungal,September,48.6,Medium,Invasive pest spread,Release Trichogramma parasitoids,Biological,Farmer field report,False,48.6,2025
67,Okra,Uttar Pradesh,North,Fall Armyworm,Insect,October,66.4,High,Poor drainage,Use sticky traps and neem oil,IPM,ICAR advisory,False,66.4,2025
68,Chilli,Rajasthan,West,Sigatoka,Fungal,December,18.0,Low,Delayed sowing,Integrated Pest Management practices,IPM,State Agriculture Dept,False,18.0,2025
69,Apple,Uttarakhand,North,Wilt,Fungal,November,22.9,Low,High humidity,Use sticky traps and neem oil,IPM,ICAR advisory,False,22.9,2025
70,Sugarcane,Himachal Pradesh,North,Coffee Berry Borer,Insect,October,15.1,Low,Unbalanced fertilizer use,Crop rotation and field sanitation,Cultural,ICAR advisory,False,15.1,2025
71,Coffee,Telangana,South,Wilt,Fungal,July,42.1,Medium,Delayed sowing,Crop rotation and field sanitation,Cultural,Farmer field report,False,42.1,2025
72,Wheat,Maharashtra,West,Tikka Leaf Spot,Fungal,August,26.1,Low,Delayed sowing,Crop rotation and field sanitation,Cultural,PPQS report,False,26.1,2025
73,Wheat,Uttarakhand,North,Aphids,Insect,September,59.2,Medium,High humidity,Crop rotation and field sanitation,Cultural,PPQS report,False,59.2,2025
74,Rice,Maharashtra,West,Stem Borer,Insect,May,38.3,Medium,High temperature stress,Integrated Pest Management practices,IPM,Farmer field report,False,38.3,2025
75,Potato,Assam,East,Brown Planthopper,Insect,December,83.5,High,Delayed sowing,Crop rotation and field sanitation,Cultural,Farmer field report,False,83.5,2025
76,Tea,Odisha,East,Fruit Borer,Insect,May,87.0,High,Heavy rainfall and waterlogging,Integrated Pest Management practices,IPM,Farmer field report,False,87.0,2025
77,Rice,Uttar Pradesh,North,Blast,Fungal,July,54.7,Medium,Delayed sowing,Crop rotation and field sanitation,Cultural,State Agriculture Dept,False,54.7,2025
78,Cotton,Assam,East,Fall Armyworm,Insect,September,56.0,Medium,Heavy rainfall and waterlogging,Integrated Pest Management practices,IPM,Farmer field report,False,56.0,2025
79,Okra,Madhya Pradesh,Central,Sigatoka,Fungal,June,46.7,Medium,Heavy rainfall and waterlogging,Release Trichogramma parasitoids,Biological,ICAR advisory,False,46.7,2025
80,Okra,Tamil Nadu,South,Fall Armyworm,Insect,February,73.1,High,Unbalanced fertilizer use,Adopt resistant varieties,Cultural,PPQS report,False,73.1,2025
81,Onion,Haryana,North,Fruit Borer,Insect,September,66.1,High,Uncontrolled weeds,Apply recommended fungicides,Chemical,State Agriculture Dept,False,66.1,2025
82,Maize,Punjab,North,Tikka Leaf Spot,Fungal,December,16.1,Low,Poor drainage,Integrated Pest Management practices,IPM,State Agriculture Dept,False,16.1,2025
83,Banana,Gujarat,West,Coffee Berry Borer,Insect,October,85.8,High,Unbalanced fertilizer use,Integrated Pest Management practices,IPM,PPQS report,False,85.8,2025
84,Chilli,Madhya Pradesh,Central,Tea Mosquito Bug,Insect,May,26.2,Low,Unbalanced fertilizer use,Use sticky traps and neem oil,IPM,Farmer field report,False,26.2,2025
85,Banana,Kerala,South,Sigatoka,Fungal,February,16.3,Low,Heavy rainfall and waterlogging,Release Trichogramma parasitoids,Biological,ICAR advisory,False,16.3,2025
86,Apple,Telangana,South,Tea Mosquito Bug,Insect,August,35.2,Medium,Excess nitrogen use,Use sticky traps and neem oil,IPM,State Agriculture Dept,False,35.2,2025
87,Okra,Maharashtra,West,Sigatoka,Fungal,September,27.8,Low,Excess nitrogen use,Apply recommended fungicides,Chemical,ICAR advisory,False,27.8,2025
88,Mango,Haryana,North,Whitefly,Insect,September,,,Invasive pest spread,Integrated Pest Management practices,IPM,PPQS report,True,43.3,2025
89,Cotton,Assam,East,Whitefly,Insect,June,10.9,Low,Unbalanced fertilizer use,Integrated Pest Management practices,IPM,Farmer field report,False,10.9,2025
90,Cotton,West Bengal,East,Fruit Borer,Insect,October,25.0,Low,Uncontrolled weeds,Apply recommended fungicides,Chemical,State Agriculture Dept,False,25.0,2025
91,Okra,Uttarakhand,North,Fruit Borer,Insect,June,43.9,Medium,High temperature stress,Adopt resistant varieties,Cultural,State Agriculture Dept,False,43.9,2025
92,Banana,Punjab,North,Fall Armyworm,Insect,August,20.5,Low,Excess nitrogen use,Adopt resistant varieties,Cultural,PPQS report,False,20.5,2025
93,Cotton,Uttar Pradesh,North,Sigatoka,Fungal,April,78.5,High,Unbalanced fertilizer use,Apply recommended fungicides,Chemical,PPQS report,False,78.5,2025
94,Okra,Andhra Pradesh,South,Blast,Fungal,July,89.6,High,Delayed sowing,Release Trichogramma parasitoids,Biological,State Agriculture Dept,False,89.6,2025
95,Okra,Bihar,East,Fall Armyworm,Insect,September,13.8,Low,Continuous monocropping,Adopt resistant varieties,Cultural,PPQS report,False,13.8,2025
96,Wheat,Gujarat,West,Tea Mosquito Bug,Insect,May,60.4,High,Heavy rainfall and waterlogging,Adopt resistant varieties,Cultural,State Agriculture Dept,False,60.4,2025
97,Groundnut,Odisha,East,Fruit Borer,Insect,September,74.8,High,Invasive pest spread,Use pheromone traps and neem spray,Biological,KVK alert,False,74.8,2025
98,Cotton,Odisha,East,Tea Mosquito Bug,Insect,November,25.9,Low,Excess nitrogen use,Adopt resistant varieties,Cultural,Farmer field report,False,25.9,2025
99,Tomato,Bihar,East,Fruit Borer,Insect,June,49.0,Medium,Heavy rainfall and waterlogging,Use pheromone traps and neem spray,Biological,KVK alert,False,49.0,2025
100,Coffee,Bihar,East,Whitefly,Insect,November,79.5,High,Invasive pest spread,Integrated Pest Management practices,IPM,Farmer field report,False,79.5,2025
101,Tea,Punjab,North,Tea Mosquito Bug,Insect,February,37.5,Medium,Invasive pest spread,Crop rotation and field sanitation,Cultural,State Agriculture Dept,False,37.5,2025
102,Groundnut,Uttarakhand,North,Tikka Leaf Spot,Fungal,July,45.6,Medium,Invasive pest spread,Adopt resistant varieties,Cultural,Farmer field report,False,45.6,2025
103,Mango,Rajasthan,West,Late Blight,Fungal,March,11.8,Low,Unbalanced fertilizer use,Adopt resistant varieties,Cultural,State Agriculture Dept,False,11.8,2025
104,Maize,Gujarat,West,Blast,Fungal,July,15.1,Low,Heavy rainfall and waterlogging,Release Trichogramma parasitoids,Biological,ICAR advisory,False,15.1,2025
105,Rice,Punjab,North,Aphids,Insect,February,59.4,Medium,Continuous monocropping,Adopt resistant varieties,Cultural,KVK alert,False,59.4,2025
106,Soybean,Madhya Pradesh,Central,Leaf Rust,Fungal,December,60.1,High,Poor drainage,Release Trichogramma parasitoids,Biological,PPQS report,False,60.1,2025
107,Rice,Telangana,South,Tikka Leaf Spot,Fungal,June,36.0,Medium,Heavy rainfall and waterlogging,Integrated Pest Management practices,IPM,Farmer field report,False,36.0,2025
108,Groundnut,Jharkhand,East,Whitefly,Insect,March,65.8,High,Poor drainage,Release Trichogramma parasitoids,Biological,Farmer field report,False,65.8,2025
109,Brinjal,Chhattisgarh,Central,Late Blight,Fungal,September,52.7,Medium,Invasive pest spread,Integrated Pest Management practices,IPM,Farmer field report,False,52.7,2025
110,Chilli,Karnataka,South,Whitefly,Insect,May,30.8,Medium,Uncontrolled weeds,Use pheromone traps and neem spray,Biological,ICAR advisory,False,30.8,2025
111,Mango,Kerala,South,Fruit Borer,Insect,May,10.7,Low,Heavy rainfall and waterlogging,Use sticky traps and neem oil,IPM,KVK alert,False,10.7,2025
112,Soybean,Andhra Pradesh,South,Sigatoka,Fungal,July,57.8,Medium,High humidity,Release Trichogramma parasitoids,Biological,State Agriculture Dept,False,57.8,2025
113,Potato,Haryana,North,Coffee Berry Borer,Insect,September,30.0,Medium,High temperature stress,Use sticky traps and neem oil,IPM,KVK alert,False,30.0,2025
114,Chilli,Uttar Pradesh,North,Stem Borer,Insect,July,51.3,Medium,Excess nitrogen use,Use sticky traps and neem oil,IPM,State Agriculture Dept,False,51.3,2025
115,Soybean,Jharkhand,East,Sigatoka,Fungal,May,78.3,High,Poor drainage,Apply recommended fungicides,Chemical,State Agriculture Dept,False,78.3,2025
116,Cotton,Rajasthan,West,Thrips,Insect,August,59.8,Medium,Unbalanced fertilizer use,Crop rotation and field sanitation,Cultural,ICAR advisory,False,59.8,2025
117,Sugarcane,Telangana,South,Aphids,Insect,January,18.2,Low,Uncontrolled weeds,Apply recommended fungicides,Chemical,KVK alert,False,18.2,2025
118,Rice,Madhya Pradesh,Central,Stem Borer,Insect,March,,,Unbalanced fertilizer use,Crop rotation and field sanitation,Cultural,KVK alert,True,37.5,2025
119,Okra,Odisha,East,Whitefly,Insect,December,36.4,Medium,Poor drainage,Use pheromone traps and neem spray,Biological,State Agriculture Dept,False,36.4,2025
120,Pigeonpea,Karnataka,South,Aphids,Insect,August,81.7,High,Uncontrolled weeds,Use sticky traps and neem oil,IPM,KVK alert,False,81.7,2025
121,Rice,Tamil Nadu,South,Sigatoka,Fungal,December,71.7,High,Heavy rainfall and waterlogging,Apply recommended fungicides,Chemical,ICAR advisory,False,71.7,2025
122,Potato,Rajasthan,West,Wilt,Fungal,February,88.6,High,Heavy rainfall and waterlogging,Integrated Pest Management practices,IPM,State Agriculture Dept,False,88.6,2025
123,Onion,Maharashtra,West,Tikka Leaf Spot,Fungal,December,,,Delayed sowing,Release Trichogramma parasitoids,Biological,ICAR advisory,True,35.1,2025
124,Soybean,Gujarat,West,Fruit Borer,Insect,January,27.4,Low,Continuous monocropping,Apply recommended fungicides,Chemical,KVK alert,False,27.4,2025
125,Onion,Andhra Pradesh,South,Blast,Fungal,May,41.7,Medium,Unbalanced fertilizer use,Use pheromone traps and neem spray,Biological,ICAR advisory,False,41.7,2025
126,Tea,Himachal Pradesh,North,Wilt,Fungal,October,71.7,High,Unbalanced fertilizer use,Apply recommended fungicides,Chemical,KVK alert,False,71.7,2025
127,Maize,Uttarakhand,North,Fruit Borer,Insect,November,38.4,Medium,Poor drainage,Adopt resistant varieties,Cultural,Farmer field report,False,38.4,2025
128,Cotton,Kerala,South,Whitefly,Insect,April,54.7,Medium,Invasive pest spread,Use sticky traps and neem oil,IPM,KVK alert,False,54.7,2025
129,Potato,Andhra Pradesh,South,Wilt,Fungal,July,20.8,Low,High humidity,Integrated Pest Management practices,IPM,KVK alert,False,20.8,2025
130,Apple,Bihar,East,Aphids,Insect,December,55.3,Medium,Delayed sowing,Crop rotation and field sanitation,Cultural,State Agriculture Dept,False,55.3,2025
131,Brinjal,Uttar Pradesh,North,Tea Mosquito Bug,Insect,October,54.4,Medium,Continuous monocropping,Release Trichogramma parasitoids,Biological,PPQS report,False,54.4,2025
132,Brinjal,Bihar,East,Tea Mosquito Bug,Insect,May,46.3,Medium,Delayed sowing,Integrated Pest Management practices,IPM,PPQS report,False,46.3,2025
133,Rice,Uttarakhand,North,Tea Mosquito Bug,Insect,June,29.1,Low,Continuous monocropping,Adopt resistant varieties,Cultural,Farmer field report,False,29.1,2025
134,Pigeonpea,Gujarat,West,Aphids,Insect,November,54.1,Medium,Excess nitrogen use,Crop rotation and field sanitation,Cultural,State Agriculture Dept,False,54.1,2025
135,Mustard,West Bengal,East,Stem Borer,Insect,February,15.3,Low,Poor drainage,Apply recommended fungicides,Chemical,ICAR advisory,False,15.3,2025
136,Potato,Tamil Nadu,South,Whitefly,Insect,April,55.7,Medium,High temperature stress,Adopt resistant varieties,Cultural,KVK alert,False,55.7,2025
137,Mango,Uttarakhand,North,Wilt,Fungal,October,39.3,Medium,Excess nitrogen use,Adopt resistant varieties,Cultural,ICAR advisory,False,39.3,2025
138,Rice,Gujarat,West,Tikka Leaf Spot,Fungal,August,76.6,High,Heavy rainfall and waterlogging,Use sticky traps and neem oil,IPM,ICAR advisory,False,76.6,2025
139,Banana,Jharkhand,East,Wilt,Fungal,July,73.5,High,High humidity,Use sticky traps and neem oil,IPM,Farmer field report,False,73.5,2025
140,Groundnut,Assam,East,Brown Planthopper,Insect,December,34.3,Medium,Unbalanced fertilizer use,Release Trichogramma parasitoids,Biological,ICAR advisory,False,34.3,2025
141,Cotton,Madhya Pradesh,Central,Aphids,Insect,July,52.1,Medium,Unbalanced fertilizer use,Release Trichogramma parasitoids,Biological,PPQS report,False,52.1,2025
142,Apple,Jharkhand,East,Late Blight,Fungal,December,61.1,High,Invasive pest spread,Adopt resistant varieties,Cultural,KVK alert,False,61.1,2025
143,Mustard,Tamil Nadu,South,Blast,Fungal,March,50.4,Medium,Poor drainage,Release Trichogramma parasitoids,Biological,Farmer field report,False,50.4,2025
144,Brinjal,Odisha,East,Coffee Berry Borer,Insect,June,89.7,High,Invasive pest spread,Integrated Pest Management practices,IPM,KVK alert,False,89.7,2025
145,Onion,Uttarakhand,North,Leaf Rust,Fungal,October,40.0,Medium,Delayed sowing,Adopt resistant varieties,Cultural,State Agriculture Dept,False,40.0,2025
146,Banana,Rajasthan,West,Whitefly,Insect,July,,,High humidity,Crop rotation and field sanitation,Cultural,Farmer field report,True,25.7,2025
147,Sugarcane,Bihar,East,Brown Planthopper,Insect,May,27.2,Low,Invasive pest spread,Use pheromone traps and neem spray,Biological,State Agriculture Dept,False,27.2,2025
148,Apple,Assam,East,Aphids,Insect,October,22.4,Low,High humidity,Integrated Pest Management practices,IPM,State Agriculture Dept,False,22.4,2025
149,Sugarcane,Kerala,South,Fall Armyworm,Insect,June,30.0,Medium,Uncontrolled weeds,Use sticky traps and neem oil,IPM,State Agriculture Dept,False,30.0,2025
150,Maize,Chhattisgarh,Central,Late Blight,Fungal,October,68.7,High,Invasive pest spread,Use sticky traps and neem oil,IPM,KVK alert,False,68.7,2025
151,Tomato,Himachal Pradesh,North,Tea Mosquito Bug,Insect,December,75.6,High,Continuous monocropping,Release Trichogramma parasitoids,Biological,State Agriculture Dept,False,75.6,2025
152,Wheat,Chhattisgarh,Central,Late Blight,Fungal,February,83.7,High,Invasive pest spread,Crop rotation and field sanitation,Cultural,KVK alert,False,83.7,2025
153,Mustard,Tamil Nadu,South,Tea Mosquito Bug,Insect,April,78.0,High,High humidity,Adopt resistant varieties,Cultural,KVK alert,False,78.0,2025
154,Wheat,Bihar,East,Aphids,Insect,January,55.2,Medium,Invasive pest spread,Release Trichogramma parasitoids,Biological,PPQS report,False,55.2,2025
155,Sugarcane,Telangana,South,Tikka Leaf Spot,Fungal,December,87.7,High,Excess nitrogen use,Release Trichogramma parasitoids,Biological,Farmer field report,False,87.7,2025
156,Maize,Madhya Pradesh,Central,Late Blight,Fungal,May,21.8,Low,Invasive pest spread,Use pheromone traps and neem spray,Biological,KVK alert,False,21.8,2025
157,Tea,Telangana,South,Aphids,Insect,July,41.9,Medium,High temperature stress,Use sticky traps and neem oil,IPM,PPQS report,False,41.9,2025
158,Sugarcane,Himachal Pradesh,North,Aphids,Insect,April,62.2,High,Unbalanced fertilizer use,Release Trichogramma parasitoids,Biological,Farmer field report,False,62.2,2025
159,Mango,Madhya Pradesh,Central,Leaf Rust,Fungal,February,44.4,Medium,Excess nitrogen use,Use pheromone traps and neem spray,Biological,ICAR advisory,False,44.4,2025
160,Mustard,Haryana,North,Fruit Borer,Insect,June,37.6,Medium,High humidity,Use sticky traps and neem oil,IPM,State Agriculture Dept,False,37.6,2025
161,Tomato,Odisha,East,Thrips,Insect,August,45.2,Medium,Unbalanced fertilizer use,Apply recommended fungicides,Chemical,State Agriculture Dept,False,45.2,2025
162,Sugarcane,Karnataka,South,Stem Borer,Insect,December,,,Excess nitrogen use,Apply recommended fungicides,Chemical,State Agriculture Dept,True,25.5,2025
163,Cotton,Bihar,East,Whitefly,Insect,August,,,Unbalanced fertilizer use,Adopt resistant varieties,Cultural,Farmer field report,True,33.5,2025
164,Apple,Assam,East,Sigatoka,Fungal,May,59.8,Medium,Poor drainage,Adopt resistant varieties,Cultural,ICAR advisory,False,59.8,2025
165,Pigeonpea,Chhattisgarh,Central,Coffee Berry Borer,Insect,November,30.4,Medium,High humidity,Crop rotation and field sanitation,Cultural,PPQS report,False,30.4,2025
166,Coffee,Uttar Pradesh,North,Brown Planthopper,Insect,August,10.7,Low,High temperature stress,Adopt resistant varieties,Cultural,State Agriculture Dept,False,10.7,2025
167,Banana,Tamil Nadu,South,Brown Planthopper,Insect,May,62.0,High,Unbalanced fertilizer use,Integrated Pest Management practices,IPM,Farmer field report,False,62.0,2025
168,Cotton,West Bengal,East,Whitefly,Insect,October,24.9,Low,Delayed sowing,Integrated Pest Management practices,IPM,Farmer field report,False,24.9,2025
169,Rice,Telangana,South,Leaf Rust,Fungal,September,49.2,Medium,Poor drainage,Use pheromone traps and neem spray,Biological,State Agriculture Dept,False,49.2,2025
170,Banana,Odisha,East,Tikka Leaf Spot,Fungal,May,88.3,High,Delayed sowing,Crop rotation and field sanitation,Cultural,ICAR advisory,False,88.3,2025
171,Groundnut,Punjab,North,Coffee Berry Borer,Insect,January,85.9,High,Unbalanced fertilizer use,Apply recommended fungicides,Chemical,State Agriculture Dept,False,85.9,2025
172,Pigeonpea,Kerala,South,Stem Borer,Insect,December,86.8,High,Excess nitrogen use,Use sticky traps and neem oil,IPM,PPQS report,False,86.8,2025
